15:15:27.871 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:26, serverValue:61}] to 127.0.0.1:27017
15:15:27.872 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:27, serverValue:62}] to 127.0.0.1:27017
15:15:27.874 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:28, serverValue:63}] to 127.0.0.1:27017
15:15:27.876 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:29, serverValue:64}] to 127.0.0.1:27017
15:15:27.877 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:30, serverValue:65}] to 127.0.0.1:27017
15:15:27.879 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:31, serverValue:66}] to 127.0.0.1:27017
15:17:27.851 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:22, serverValue:57}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.852 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:23, serverValue:58}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.852 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:24, serverValue:59}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.853 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:25, serverValue:60}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.854 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:26, serverValue:61}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.855 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:27, serverValue:62}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.855 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:28, serverValue:63}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.856 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:29, serverValue:64}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.856 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:30, serverValue:65}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.856 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:31, serverValue:66}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:17:27.858 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:32, serverValue:67}] to 127.0.0.1:27017
15:17:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:33, serverValue:68}] to 127.0.0.1:27017
15:17:27.862 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:34, serverValue:69}] to 127.0.0.1:27017
15:17:27.863 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:35, serverValue:70}] to 127.0.0.1:27017
15:17:27.864 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:36, serverValue:71}] to 127.0.0.1:27017
15:17:27.866 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:37, serverValue:72}] to 127.0.0.1:27017
15:17:27.867 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:38, serverValue:73}] to 127.0.0.1:27017
15:17:27.869 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:39, serverValue:74}] to 127.0.0.1:27017
15:17:27.870 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:40, serverValue:75}] to 127.0.0.1:27017
15:17:27.871 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:41, serverValue:76}] to 127.0.0.1:27017
15:18:27.860 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:32, serverValue:67}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:18:27.861 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:33, serverValue:68}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:18:27.865 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:42, serverValue:77}] to 127.0.0.1:27017
15:18:27.866 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:43, serverValue:78}] to 127.0.0.1:27017
15:19:27.859 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:34, serverValue:69}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
15:19:27.861 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:35, serverValue:70}] to 127.0.0.1:27017 because it is past its maximum allowed idle time.
